job_id,title,company,location,job_type,description,skills,posted_date
3697337983,OH- Central Steril Processing Tech III CSPD - NIGHTS 11p-7:30a,TriOptus,"Cleveland, OH",Full-time,"Job Summary:Responsibilities: Decontamination, assembly, and sterilization of all surgical instrumentation.Mandatory Qualifications:HSPA or CPSPD certification, 7 plus years of experience National Sterile Processing CertificationAbility to work independently2-3 weekends required per schedule and possible holidaysPreferred Qualifications: 8 years or more of sterile processing experience in a Level I Trauma CenterPhysical Requirements:May sit, stand, stoop, bend, and ambulate intermittently during the day.May need to sit or stand for extended periods.See in the normal visual range with or without correction.Hear in the normal audio range with or without correction.Ability to push/pull 350 pounds.Ability to lift 35 pounds.Requires some exposure to communicable diseases or body fluids.Requires some exposure to chemicals. Shift: Nights 11pm-730am every other weekend and holidays; 40 hrs./week Specialty Type: Nursing Sub Specialties: Sterile Processing Technologist General Certifications: N/A Please CLICK HERE to view details.",HCPR,1970-01-01 00:28:10
3693062038,"Manufacturing Planning Analyst 100% Onsite in Sunnyvale, Ca.",Zeektek,United States,Contract,"We have a 6-month contract-to-Permanent position open for a Manufacturing Planning Analyst. The position is 100% on-site in Sunnyvale, Ca. The candidate will be responsible for improving manufacturing output, building schedules, establishing inventory processes, and bringing a disciplined approach to manufacturing planning processes. A key focus is on improving the quality measures of planning, inventory, and procurement. The Planning, Inventory and Procurement Analyst positions are more tactical than strategic, however they need someone to look at current environment and build processes to improve in these 3 areas.The Manufacturing Planning Analyst will be responsible for analyzing production data, optimizing manufacturing processes, and ensuring the effective planning and execution of production schedules. This role involves collaborating with cross-functional teams to enhance operational efficiency, minimize production bottlenecks, and contribute to the overall success of the manufacturing department. Responsibilities:Analyze production data, including order volumes, lead times, and resource availability, to develop accurate production schedules.Collaborate with production managers, procurement, and inventory teams to ensure materials and resources are available to meet production demands.Monitor manufacturing processes and identify opportunities for process improvement, cost reduction, and cycle time optimization.Utilize data analytics and forecasting techniques to predict demand trends and adjust production plans accordingly.Work closely with engineering teams to ensure smooth integration of new products and processes into the manufacturing schedule.Monitor and manage production schedules in real-time, addressing issues or delays to minimize disruptions.Generate reports and performance metrics related to production efficiency, resource utilization, and adherence to schedules.Participate in cross-functional meetings to communicate production plans, resolve issues, and ensure alignment between departments.Collaborate with quality assurance to ensure compliance with quality standards and efficient use of resources.Support capacity planning efforts by analyzing production capabilities and identifying potential constraints.Participate in continuous improvement initiatives to enhance manufacturing processes and operational effectiveness.Keep abreast of industry trends, best practices, and advancements in manufacturing planning and scheduling techniques.Qualifications:Bachelor's degree in Industrial Engineering, Operations Management, Supply Chain Management, or a related field. Master's degree is a plus.Proven experience in manufacturing planning, production scheduling, or related roles.Knowledge of manufacturing processes, capacity planning, and production optimization strategies.Excellent communication and interpersonal skills for effective cross-functional collaboration.Detail-oriented with strong organizational skills to manage complex production schedules.Problem-solving mindset with the ability to identify process bottlenecks and propose solutions.Ability to work well under pressure in a fast-paced manufacturing environment. Work Environment: The Manufacturing Planning Analyst will work in an office or manufacturing setting, collaborating with production teams, engineering, procurement, and other departments to ensure effective production planning and execution. Zeektek offers medical, dental and vision coverages to its employees and their dependents. Employees may enroll in our company 401k plan with matching company contributions. Employees will accrue and may use sick time in accordance with guidelines set by the state in which the employee works. Zeektek is an equal opportunity employer. Please see our website, www.zeektek.com, for our complete statement. Employment decisions at Zeektek will be based on merit, qualifications, and abilities in order to provide equal employment and advancement opportunities to all individuals,. Zeektek does not discriminate in employment opportunities or practices based on age, race, creed, color, religion, national origin, ancestry, sex, gender, marital status, parental status, genetic information, sexual orientation, gender identity or expression, citizenship status, disability (mental or physical), medical condition, military or veteran status or any other characteristic protected by law. We are an Equal Opportunity Employer.",IT|ADM|MRKT,1970-01-01 00:28:10
3699423252,"Manager, LER Emergency Response Center",T-Mobile,"Frisco, TX",Full-time,"Be unstoppable with us! T-Mobile is synonymous with innovation–and you could be part of the team that disrupted an entire industry! We reinvented customer service, brought real 5G to the nation, and now we’re shaping the future of technology in wireless and beyond. Our work is as exciting as it is rewarding, so consider the career opportunity below as your invitation to grow with us, make big things happen with us, above all, #BEYOU with us. Together, we won’t stop! At T-Mobile, we strongly encourage everyone, including people of color, veterans, military spouses, individuals with disabilities, lesbian, gay, bisexual, transgender, queer and non-binary people, and parents to apply. We are an equal opportunity employer and welcome everyone to our team. If you are an individual with a disability and need reasonable accommodation at any point in the application or interview process, please let us know by emailing ApplicantAccommodation@t-mobile.com or calling 1-844-873-9500. Please note, this contact channel is not a means to apply for or inquire about a position and we are unable to respond to non-accommodation related requests. T-Mobile has consistently been recognized as a Best Place to Work thanks to our crew of diverse, multi-talented self-starters who are ready to go go go… And T-Mobile is recognized as a best place to work for LGBTQ employees by the Human Rights Campaign Corporate Equality Index five years in a row. A designated Military Friendly Employer by Military Friendly for eleven years running. And with a 100% score on the Disability Equality Index, our diversity across gender, race and ideas drives us forward. LER Emergency Response Center provides 24 x 7 phone support to Law Enforcement Agencies (LEA) and Public Safety Answering Point (PSAP) requestors. The shift for this position is Tuesday -Saturday 2:00 pm – 10:30 pm CST. The Manager, LER Emergency Response Center motivates and inspires their team of Specialists and Sr Specialists. As leaders, Managers demonstrate strong interpersonal, time management, and multi-tasking skills. They are responsible for the development, performance management and workforce management (including hours allocation, overtime budget responsibility and scheduling) of team and regularly reports on team performance, productivity, efficiency, and quality. They have the ability to quickly adapt to change and model a positive, can-do attitude of service. They are responsible for building effective working relationships, making sound decisions, successfully making changes, initiating action and achieving results. With the support of the LER leadership team, manager makes decisions on hiring, firing, and promotions. What You’ll Do In Your Role. Plans, assigns, coordinates and directs the activities of professional and technical personnel involved in resolving and responding to complex emergency, court order compliance and legal issues presented to the Law Enforcement Relations TeamMaintains staff by recruiting, selecting, orienting, and training employees: maintaining a legal work environment; developing employees and providing personal growth opportunities.Creates, reviews and evaluates Key Performance Indicators for the team to ensure quality and efficient services are provided in compliance with the law and company policy. Provide reports on status and trends to the LER Management team.Manages escalated issues via phone, mail, email and in person. This includes work with law enforcement, attorneys, government officials and business partners. Information and situations shared by callers or gathered in production deal with crimes and their aftermath so they may be disturbing. Assists in the development, implementation and modification of department policy and procedure through management of internal LER projects involving quality, efficiency and productivity.Maintains awareness of industry standards, trends and best practices in order to strengthen organizational and technical knowledge and application to the standards and processes for the team.Acts as a representative of T-Mobile in dealings with the legal community including but not limited to acting as a Custodian of Records as necessary in courts throughout the U.S., its territories and other areas where company services are utilized.Also responsible for other Duties/Projects as assigned by business management as needed. The Experience You’ll Bring. 4-7 years Law enforcement, legal, compliance or customer experience2-4 years Supervisor or leadership experienceKnowledge of the relevant law enforcement relations related laws and regulations (including but not limited to CALEA, ECPA, and CPNI) and an aptitude for their application.Knowledge of mobile and other technology subjects and an aptitude for their application, or equivalent experienceAbility to effectively manage time, prioritize work, multi-task across many assignments with some direction.Willing and able to apply for and receive DOJ Secret or Top-Secret Security ClearanceExcellent oral and written communication skills with the ability to effectively communicate technical information to a non-technical audience.Microsoft OfficeOrganization, attention to detail, Confidentiality, Strong Communication.‘Bachelors Degree preferred.At least 18 years of ageHigh School Diploma or GED “T-Mobile requires U.S. citizenship for certain roles within the organization. This role requires U.S. citizenship. Individuals hired into this role will be required to submit documentation proving U.S. citizenship - failure to do so will result in termination.” Never stop growing! T-Mobile doesn’t have a corporate ladder–it’s more like a jungle gym of possibilities! We love helping our employees grow in their careers, because it’s that shared drive to aim high that drives our business and our culture forward. If you’d like to receive more information about careers at T-Mobile, sign up for the T-Mobile Talent Community today! https://www.tmobile.careers/profile/join/ T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, religious affiliation, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination, retaliation or harassment based upon any of these factors is wholly inconsistent with how we do business and will not be tolerated. Talent comes in all forms at the Un-carrier. If you are an individual with a disability and need reasonable accommodation at any point in the application or interview process, please let us know by emailing ApplicantAccommodation@t-mobile.com or calling 1-844-873-9500. Please note, this contact channel is not a means to apply for or inquire about a position and we are unable to respond to non-accommodation related requests.",OTHR|IT|MGMT,1970-01-01 00:28:10
3697380509,Concrete Laborer,Tradesmen International,"Columbia, MO",Full-time,"Description Tradesmen International is immediately hiring ambitious Concrete Laborers for projects located in and around Columbia, MO . This is a first shift opportunity with a pay range of up to $27/hour based on experience and skill level. If you are a Concrete Laborer,eager to demonstrate your knowledge and skills while learning new ones, this is your chance to advance in your career! Job Scope Smooth out Concrete Prepared on-site Company Details Tradesmen International not only offers consistent work, top pay, and employment opportunities, we also provide a benefits package that is among the best in the industry. Our Comprehensive Benefits Include Tradesmen+ Rewards Program – earn points for hours workedVacation PayHealth insurance401(k) profit-sharing savings planIncentive programsTool purchase programs & MORE! Tradesmen International is an EO employer - M/F/Veteran/Disability Click here to visit Tradesmen’s full website. (http://www.tradesmeninternational.com) Recruiter Name Myslein Sandoval Location US-MO-COLUMBIA Posted Date 1 day ago (8/22/2023 4:33 PM) Req ID 2023-338922 Category Concrete - Laborer Travel No Location US-MO-COLUMBIA",MGMT|MNFC,1970-01-01 00:28:10
3701315691,"Finance Manager, FP&A",S&P Global,"Oklahoma, United States",Full-time,"The Role: Finance Manager, FP&A The Grade/Level: (relevant for internal applicants only) 11 The Location: NYC, NY; Chicago, IL; US Virtual The Team: You are part of the S&P Global Dow Jones Indices finance team, reporting to the VP, Finance & Strategic Decisions. As a member of the team, you will have exposure to the business as well as the Executive team. You and your direct reports will engage with Enterprise Corporate Finance, various P&L owners and drive the financial strategy forward for SPDJI. The Impact: You are guiding the development of the business’ operations plan over three-plus years while helping to identify opportunities to optimize growth. The intelligence and data you present will influence key business decisions. As we centralize ad hoc reporting and analysis under this role, you will have an impact on how well we tell the story of our performance (including through Tableau dashboards). What’s in it for you: You will gain exposure to SPDJI’s senior management team and deliver business-critical insights. You will work directly with the CFO and other finance leaders to grow and develop your career as part of a dynamic and global team. You will gain key experiences resulting from key business projects. You will have the opportunity to play a critical role in the evaluation of potential acquisitions and develop critical business cases to effectively allocate investment capital driving future growth. Responsibilities: This role will require a dynamic finance leader, who can manage a wide array of tasks and responsibilities: Key contributor to the annual budgeting and rolling forecast processes, including medium term / 3 year planning.Act as liaison for Corporate finance teams on monthly / quarterly deliverables, managing preparation and/or review of presentation materials and other deliverables for senior management and Corporate stakeholders.Work with key SPDJI stakeholders to optimize key P&L levers; workforce planning, IT spend and allocations.Develop analytically rigorous financial projections with finance and business teams including transparently communicating risks & opportunities.Collaborate with business and strategy teams to develop business cases and financial models in the evaluation of strategic initiatives and M&A opportunities.Develop broader Finance team on best practices and process efficiencies and the systems and tools utilized by S&P Global finance.Partner with Corporate to advance enterprise-wide systems implementations (EPM, CRM, Anaplan, etc.).Collaborate with the team to develop presentations for S&P Global Senior Management and the Board, as necessary. Basic Qualifications What We’re Looking For: Strong analytical and problem-solving skillsAdvanced communication skills. This includes the ability to simplify complex concepts and messages to the essential components and deliver these effectively to a wide range of audiences.Highly developed skills in navigating a complex, heavily matrixed, global organization.Strong organizational skills including ability to manage multiple projects / activities at a given time.Operates with a sense of urgency, ability to work under tight and sometimes competing priorities.Ability to quickly build credibility and relationships.Strong skills in MS Excel (Pivot tables, V-Lookups, Modeling) and PowerPoint.Bachelor’s Degree or equivalent.5+ years of experience in a finance role (FP&A, investment banking, equity research). Preferred Qualifications CPA, MBA, CFA and/or other relevant professional qualifications.Experience with ERP (Oracle Financials) and Anaplan preferred.Proficiency in BI reporting and automation tools like Tableau and Alteryx.M&A deal experience. Compensation/Benefits Information (US Applicants Only) S&P Global states that the anticipated base salary range for this position is $72,300 to $143,800. Final base salary for this role will be based on the individual’s geographical location as well as experience and qualifications for the role. In addition to base compensation, this role is eligible for an annual incentive plan. This role is eligible to receive additional S&P Global benefits. For more information on the benefits we provide to our employees, visit link https://spgbenefits.com/benefit-summaries/us About Company S&P Global delivers essential intelligence that powers decision making. We provide the world’s leading organizations with the right data, connected technologies and expertise they need to move ahead. As part of our team, you’ll help solve complex challenges that equip businesses, governments and individuals with the knowledge to adapt to a changing economic landscape. S&P Dow Jones Indices provides iconic and innovative index solutions, bringing transparency to global capital markets. Equal Opportunity Employer S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law. 20 - Professional (EEO-2 Job Categories-United States of America), FINANC202.2 - Middle Professional Tier II (EEO Job Group) Job ID: 289353 Posted On: 2023-08-23 Location: New York, New York, United States",FIN|SALE,1970-01-01 00:28:10
3694102588,Parts Advisor,AutoNation Subaru Spokane Valley,"Spokane, WA",Full-time,"Full time Tuesday thru Saturday. Answering phones and taking customer orders, helping the tech counter and putting away inventory. Pulling orders for wholesale.",MGMT|MNFC,1970-01-01 00:28:10
3694103698,Performance Marketing Associate,Flowcode,New York City Metropolitan Area,Full-time,"Flowcode is the offline to online company, building direct connections for brands and consumers. By unifying data-driven design with the latest in QR technology, Flowcode enables contactless connection with speed, security, and ease. Privacy-compliant, ultra-fast scanning, and designed with intention, Flowcode is the number one trusted QR provider.Founded by the former CEO of AOL and President of Google Americas, we are a team of large company executives, startup founders, engineers, scientists, artists, and designers - who are all data-obsessed. Flowcode is always looking to increase our potential as a company. We are focused on building a powerfully diverse workforce, not just because it is the right thing to do but because it expands the potential of our team exponentially. About the roleAs the Performance Marketing Associate, you will play a key role in planning, launching, and optimizing our digital marketing campaigns. Your primary responsibility will be to drive successful campaigns that align with Flowcode’s KPIs. In this role, you will conduct:Campaign Management and Execution: Develop and manage the day-to-day of Flowcode’s digital campaign across various platforms to maximize brand visibility and increase lead volume. This includes setting up, launching, and monitoring ad campaigns to ensure they are running smoothly and meeting performance targets.Campaign Optimization: Continuously monitor campaign performance, identify areas for improvement, and implement optimization strategies to enhance campaign effectiveness. This includes optimizing budgets, tactics, targeting, and messaging.Cross-functional Collaboration: Collaborate with the key stakeholders to align marketing messaging, increase lead volume and ensure optimizations are made to support the overall strategy.Reporting and Analysis: Generate regular reports on campaign performance, including key metrics and insights by platform and creative. Provide actionable recommendations based on data analysis to optimize campaign performance and drive continuous improvement. What we're looking for:3 - 5 years of experience in digital marketing and ad buying, preferably in a fast-paced startup or agency environment.Proven track record of successfully launching and managing digital marketing campaigns for SAAS products.Strong analytical skills with the ability to interpret data and make data-driven decisions to optimize campaign performance.Detail-oriented mindset with exceptional organizational and time management skills.Excellent communication and collaboration skills, with the ability to work cross-functionally and effectively coordinate with key stakeholders.Proficiency in using digital marketing tools, platforms, and analytics software.A passion for staying up-to-date with the latest trends and best practices in digital marketing and advertising. You can expect:A supportive, inclusive atmosphere on a team that values your contributionsAn attractive and equitable compensation package, including salary and stock options.A generous benefits program featuring unlimited vacation, comprehensive medical benefits, a parental leave policy, lunch stipends, team offsites, and much more."" More about Flowcode Our companion product, Flowpage, organizes your digital footprint in one mobile-first landing page, creating a seamless experience to more deeply connect with audiences while tracking real-time analytics. Paired together, our tech allows consumers and creators to connect the real world to the digital world instantly and magically. Flowcode is currently used by more than 60% of the Fortune 500. Flowcode has been committed to growing a team with diverse backgrounds, capabilities, and perspectives since Day 1. We will always celebrate what makes us each unique and therefore take equal opportunity seriously. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. A successful candidate’s starting pay will be determined based on the role, job-related skills, experience, qualifications, work location, and market conditions. The current range for this role is $70K-$90K base. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Flowcode has been recognized by Forbes as one of America's Best Startup Employers 2023.We have a hybrid work culture with our Headquarters located in Soho NYC.",IT|PRJM,1970-01-01 00:28:10
3701312210,Sales Director {Owner/Operator},City Lifestyle,"San Jose, CA",Full-time,"The Entrepreneur we seek is an experienced sales professional and a natural-born closer who lives for the thrill of the hunt and making serious bank. If you want the freedom to obliterate your business goals and keep the profits you generate, then you’ve come to the right place. If you’re a people magnet and use your gift of persuasion to optimize your network - then keep reading. You’re going to love it at City Lifestyle. Our next Business to Business Sales Executive will enjoy building a book of residual income. The hard charger we’re seeking doesn’t sit around waiting for the phone to ring or inbox to ding. They know to make serious money, they gotta have a hit list and get after it. Prioritizing opportunities and juggling dozens of touch points at once will be paramount. Activities drive outcomes, and follow-through is key. If you’re not ready to blow up the phones, go face to face, network, and build out your portfolio fast, then don’t waste your energy. You’ll spend most of your time in the field having critical business discussions about solving business owners' problem of promoting and selling products and or services. Our custom CRM platform keeps you in client acquisition mode by being simple and easy to use. Part Sales Leader, part Account Executive, you’ll run point on maintaining client relationships for future revenue growth. Gone are the days of making less on renewing your customers. Compelling, provocative communicators that can bring a concept to life and who are persistent will sit at the top of the leaderboard. We’ll train the right high-performance Sales Professional in all things publishing and we provide all the support. Our standards are high, but so is the earning potential. If you’re ready to run with the big dogs and level up your life, apply today. Take control of your future with a team that refuses to lose. We’re looking for only high-performance candidates. We’ll know if you have what it takes. Territories are limited, Apply now!",SALE|ADVR|BD,1970-01-01 00:28:10
3701366020,Adult Hospitalist (PRN),Mary Washington Healthcare,"Stafford, VA",Part-time,"Start the day excited to make a difference…end the day knowing you did. Come join our team. Job Summary: The Hospitalist provides medical care services to inpatient population including admission, inpatient care coordination, and discharge. The incumbent of this position collaborates with various medical disciplines across the organization while providing excellent patient care and will complete care documentation and other administrative functions required of the physician. Additionally, the Hospitalist engages in hospital care improvement processes. Reports to the VP, Physician Practice Operations and/or designated performance management team as required. Essential Functions & Responsibilities: Admits patients to inpatient service of hospital.Plans, implements, and directs the multidisciplinary team in the provision of inpatient services to patients under the physician’s care.Completes History and Physical Exams, orders laboratory tests, and orders radiographic examinations as appropriate for patient care.Orders treatments and medications as indicated by patient conditions.Responds to CODE BLUE and acute emergencies as required.Answers calls from nursing staff concerning patients requiring medical attention.Arranges and conducts family meetings where appropriate.Plans and coordinates care with all members of the health care team to assure quality and efficiency. Consults specialty physicians when indicated by patient condition and clinical practice guidelines.Practices evidence-based medicine, utilizes standardized protocols and order sets, and coordinates with care management and nursing staff to achieve most appropriate length of stay.Prepares medical records and patient progress notes in a timely and accurate fashion, in compliance with applicable facility and governmental guidelines.Prepares and enters appropriate diagnostic and billing codes into facility-designated system within 24 hours of provision of services.Actively participates in patient satisfaction, utilization management, and other quality improvement activities of employer and/or when required by third-party payers.Participates in employer orientation, compliance, and mandatory training and education programs.Serves on facility committees as requested.Complies with applicable Rules and Regulations of facility and abides by all requirements of facility’s Medical Staff Bylaws.Performs all services, acts, and duties connected with the position in accordance with the mission, vision, and values of the organization.Performs other duties as assigned. Qualifications: Must meet all criteria necessary for Medical Staff privileges in the area of Adult Hospitalist as approved by Mary Washington Hospital medical staff bylaws and the Mary Washington Healthcare Board of Directors.Must be a graduate of an AMA approved school of medicine or osteopathy (ECFMG candidate if foreign medical school graduate).Licensed to practice medicine in the State of Virginia required.Active DEA License required.AHA BLS Provider CPR required Must be eligible for participation in Medicare, Medicaid, and third party insurances.Must complete Board Certification in Family Medicine or Internal Medicine or Board Eligible within 5 years of completion of residency training.Authorized to work in the United States.Prior Hospitalist experience preferred. As an EOE/AA employer, the organization will not discriminate in its employment practices due to an applicant's race, color, religion, sex, sexual orientation, gender identity, national origin, and veteran or disability status.",HCPR,1970-01-01 00:28:10
3693050466,Prevailing Wage Compliance Specialist,"Vogrinc & Short, Inc.","Beloit, WI",Full-time,"We are currently seeking a specialist with experience in Prevailing Wage Compliance (Davis Bacon Act). This role will be within an HR/Labor Department and will offer significant growth opportunities. Job Duties & responsibilitiesReviews and evaluates weekly-certified payroll records against applicable wage determinations for classifications and crafts and for proper use of apprentices; ensures accuracy of reportsSubmits certified payroll reports on a weekly basis after payroll is processedFile DAS 140 and DAS 142 documents and other related documents for new projectsEvaluates and monitors labor compliance matters to ensure we are paying correct prevailing wages, benefits, or a combination thereof and are participating in applicable apprenticeship programs for state and locally-funded projectsMonitors federally-funded projects to ensure compliance with the Davis Bacon Act and state contract requirementsRemains current with any changes in the prevailing wage or state precedent wage decisions to support project compliance.Other Labor Relations duties as assigned Qualifications2-3 years of certified payroll reporting experience. (highly preferred)Familiar with LCP Tracker and Elation compliance tracking systemsFamiliar with California, New Mexico, including other states DIR certified payroll processSkill set in Microsoft Office (Excel, Word, PowerPoint) and preferably Workday",ACCT,1970-01-01 00:28:10
